,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
226,Diamond Princess,712,,13,,699,,0,,,,,, ,North America
229,MS Zaandam,9,,2,,7,,0,,,,,, ,Asia
90,China,503302,,5272,,379053,,118977,,347,4,160000000,110461,1448471400,Europe
1,India,44684376,,530756,,44151797,,1823,,31767,377,916943349,651872,1406631776,Europe
0,USA,104872877,,1141220,,102163862,,1567795,2919,313235,3409,1162615362,3472512,334805269,South America
19,Indonesia,6733478,,160878,,6568474,,4126,,24123,576,114158919,408975,279134505,Asia
52,Pakistan,1576604,31,30641,1,1538689,,7274,9,6870,134,30570862,133213,229488994,Asia
107,Nigeria,266463,,3155,,259850,,3458,11,1229,15,5708974,26339,216746934,Europe
4,Brazil,36960888,,697894,,36097919,,165075,,171629,3241,63776166,296146,215353593,Europe
47,Bangladesh,2037716,,29445,,1997504,,10767,,12138,175,15251283,90843,167885689,Europe
9,Russia,22106985,,395652,,21461669,,249664,,151619,2714,273400000,1875095,145805947,Asia
18,Mexico,7410093,,332653,,6652722,,424718,,56324,2528,19465548,147956,131562772,Europe
5,Japan,33019616,,71136,,21646414,,11302066,258,262927,566,93890149,747623,125584838,Asia
91,Ethiopia,499823,,7572,,487079,,5172,,4137,63,5476104,45327,120812698,Australia/Oceania
36,Philippines,4075049,,65985,,3999982,,9082,162,36220,586,34478916,306455,112508994,South America
88,Egypt,515698,,24613,,442182,,48903,122,4858,232,3693367,34792,106156692,Asia
12,Vietnam,11526773,,43186,,10614712,,868875,6,116487,436,85826548,867342,98953541,Europe
132,DRC,95646,,1464,,84282,,9900,,1004,15,846704,8890,95240792,Asia
17,Iran,7566043,,144789,,7338449,,82805,254,87954,1683,55034937,639771,86022837,North America
10,Turkey,17042722,,101492,,,,,,199186,1186,162743369,1902052,85561976,Asia
3,Germany,37970357,,167124,,37558400,,244833,,452655,1992,122332384,1458359,83883596,Europe
30,Thailand,4727628,,33894,,4692636,,1098,,67462,484,17270775,246450,70078203,South America
8,UK,24315983,,205540,,24058818,2019,51625,,354989,3001,522526476,7628357,68497907,Europe
2,France,39574447,,164657,,39338816,,70974,869,603411,2511,271490188,4139547,65584518,Europe
156,Tanzania,42775,,846,,,,,7,676,13,,,63298550,Europe
37,South Africa,4059348,,102595,,3912506,,44247,192,66814,1689,26473049,435726,60756135,Europe
7,Italy,25519067,,187551,,25135458,,196058,163,423463,3112,266620812,4424304,60262770,South America
99,Kenya,342874,,5688,,337146,,40,1,6099,101,3967062,70569,56215221,Asia
83,Myanmar,633875,,19490,,614353,,32,,11478,353,10001561,181099,55227143,Asia
21,Colombia,6358775,,142596,,6182304,,33875,342,123441,2768,36951507,717327,51512762,Asia
6,S. Korea,30397220,12519,33804,22,30115819,18847,247597,217,592193,659,15804065,307892,51329899,Asia
122,Uganda,170464,,3630,,100431,,66403,3,3520,75,3012408,62198,48432863,Europe
11,Spain,13748918,,118976,,13578453,,51489,231,294289,2547,471036328,10082298,46719142,Europe
14,Argentina,10042136,,130448,,9903526,633,8162,363,218259,2835,35716069,776264,46010234,North America
144,Sudan,63775,,5011,,58364,,400,,1387,109,562941,12240,45992020,South America
106,Algeria,271421,,6881,,182778,,81762,,5985,152,230861,5091,45350148,Europe
25,Ukraine,5382095,,111175,,5259381,,11539,,124608,2574,32603805,754855,43192122,Asia
43,Iraq,2465545,,25375,,2439497,,673,21,58474,602,19544451,463523,42164965,Africa
113,Afghanistan,209056,,7896,,189135,,12025,45,5130,194,1195187,29327,40754388,Europe
33,Canada,4571053,,50863,,4478047,2064,42143,99,119074,1325,66343123,1728207,38388419,Europe
59,Morocco,1272353,,16296,,1256009,,48,3,33684,431,12958804,343073,37772756,Asia
20,Poland,6394131,,118800,,5335940,,939391,696,169427,3148,38191893,1011980,37739785,Europe
75,Saudi Arabia,828729,,9596,,816126,,3007,32,23120,268,45104000,1258310,35844909,Europe
129,Angola,105184,,1931,,103216,,37,,3003,55,1499795,42818,35027343,Asia
109,Uzbekistan,250829,,1637,,241486,,7706,23,7295,48,1377915,40077,34382084,Asia
34,Peru,4484029,,219293,,4262580,,2156,49,133120,6510,37886317,1124750,33684208,Australia/Oceania
27,Malaysia,5040087,,36954,,4993758,,9375,8,151896,1114,67907900,2046585,33181072,Europe
